"Measure","Time","Ethnicity","Ethnicity type","Role type","Broad grade","Grade","Entry level","Value","Headcount"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","All staff groups","All grades","All grades","All","1.7","19229"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","All staff groups","All grades","All grades","All","2.1","24598"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","All staff groups","All grades","All grades","All","NA","53406"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","All staff groups","All grades","All grades","All","80.1","922906"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Medical staff","All grades","All grades","All","NA","116605"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Medical staff","All grades","All grades","All","28.9","30956"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Medical staff","All grades","All grades","All","4.2","4522"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Medical staff","All grades","All grades","All","2.5","2724"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Medical staff","All grades","All grades","All","3.1","3361"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Medical staff","All grades","All grades","All","4.1","4388"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Medical staff","All grades","All grades","All","NA","9496"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Medical staff","All grades","All grades","All","57.1","61158"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","NA","2264"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","41.1","874"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","5.1","108"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","0.8","16"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","3.2","69"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","9","192"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","NA","136"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Medical staff","Senior Doctor","Associate Specialist","Graduate","40.8","869"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","NA","49494"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","28.1","13108"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","2.9","1346"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","2","923"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","2.2","1028"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","3.4","1573"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","NA","2861"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Medical staff","Senior Doctor","Consultant","Graduate","61.4","28655"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","NA","10297"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","28","2616"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","6.1","568"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","3.4","321"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","4.3","403"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","4.5","418"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","NA","952"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Medical staff","Junior Doctor","Core Training","Graduate","53.7","5019"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","NA","6182"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","21.2","1174"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","3.9","213"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","4.2","231"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","4.4","244"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","3","164"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","NA","651"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 1","Graduate","63.4","3505"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","NA","6570"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","24.6","1420"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","4.5","257"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","3.1","179"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","4.1","239"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","3.6","205"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","NA","805"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Medical staff","Junior Doctor","Foundation Doctor Year 2","Graduate","60.1","3465"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","NA","1747"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","17.6","269"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.6","25"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","0.5","8"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.5","23"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","1.7","26"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","NA","215"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Medical staff","Other Doctor grades","Hospital Practitioner / Clinical Assistant","Graduate","77.1","1181"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","NA","1320"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","22.7","273"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.3","28"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","1.6","19"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.9","35"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","2.4","29"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","NA","119"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Medical staff","Other Doctor grades","Other and Local HCHS Doctor Grades","Graduate","68","817"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","NA","7833"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","44.1","3177"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","5.4","388"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","0.9","63"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","3.1","224"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","7.3","527"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","NA","624"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Medical staff","Senior Doctor","Specialty Doctor","Graduate","39.3","2830"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","NA","30837"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","28.8","7992"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","5.7","1567"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","3.4","954"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","3.9","1088"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","4.5","1241"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","NA","3130"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Medical staff","Junior Doctor","Specialty Registrar","Graduate","53.7","14865"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","NA","394"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","35.4","127"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","8.1","29"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","3.3","12"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","4.2","15"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","6.1","22"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","NA","35"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Medical staff","Senior Doctor","Staff Grade","Graduate","42.9","154"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","All grades","All grades","All","NA","1088713"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","All grades","All grades","All","7.7","79940"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Non-medical staff","All grades","All grades","All","6.1","63330"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Non-medical staff","All grades","All grades","All","0.3","3647"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Non-medical staff","All grades","All grades","All","1.5","15869"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Non-medical staff","All grades","All grades","All","1.9","20210"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Non-medical staff","All grades","All grades","All","NA","43921"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Non-medical staff","All grades","All grades","All","82.5","861796"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","NA","35170"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","9.3","3123"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","7.1","2363"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","0.2","66"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","1.6","542"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","2.2","722"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","NA","1678"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Non-medical staff","Support Roles","Band 1","Non-Graduate","79.6","26676"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","NA","183348"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","7.8","13710"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","6.3","10994"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","0.2","311"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","1.6","2798"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","2","3484"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","NA","7611"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Non-medical staff","Support Roles","Band 2","Non-Graduate","82.2","144440"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","NA","147051"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","6.2","8747"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","6.2","8746"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","0.2","269"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","1.5","2148"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","1.3","1880"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","NA","5731"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Non-medical staff","Support Roles","Band 3","Non-Graduate","84.6","119530"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","NA","95408"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","6.1","5634"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","4.9","4540"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","0.3","246"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","1.6","1434"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","1","965"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","NA","3326"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Non-medical staff","Support Roles","Band 4","Non-Graduate","86.1","79263"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","NA","221355"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","10.9","22963"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","7.9","16670"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","0.4","817"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","1.7","3541"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","3.2","6782"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","NA","10066"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Non-medical staff","Middle Roles","Band 5","Graduate","76","160516"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","NA","208655"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","7","14133"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","5.9","11958"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","0.4","886"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","1.4","2893"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","2","4009"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","NA","7635"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Non-medical staff","Middle Roles","Band 6","Graduate","83.1","167141"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","NA","118123"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","6.1","6951"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","4.7","5339"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","0.6","638"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","1.3","1488"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","1.4","1653"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","NA","4005"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Non-medical staff","Middle Roles","Band 7","Graduate","85.9","98049"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","NA","40995"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","6.5","2576"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","3.7","1469"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","0.6","257"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","1.4","545"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","1","411"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","NA","1349"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8a","Graduate","86.7","34388"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","NA","15972"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","5.2","801"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","3.1","485"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","0.6","97"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","1.2","178"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","0.8","118"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","NA","561"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8b","Graduate","89.1","13732"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","NA","8177"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","4.2","333"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Black","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","2.4","186"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Chinese","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","0.4","32"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Mixed","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","1.2","92"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Other","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","0.6","50"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Unknown","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","NA","329"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","White","ONS 6+1","Non-medical staff","Senior Roles","Band 8c","Graduate","91.2","7155"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","All","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","NA","3919"
"Percentage of NHS staff in NHS trusts and CCGs","31/03/2018","Asian","ONS 6+1","Non-medical staff","Senior Roles","Band 8d","Graduate","3.6","133"
